week,date,home_team,away_team,home_score,away_score,status
1,2025-09-04,PHI,DAL,24,20,final
1,2025-09-05,LAC,KC,27,21,final
1,2025-09-07,NO,ARI,13,20,final
1,2025-09-07,BUF,BAL,41,40,final
1,2025-09-07,JAX,CAR,26,10,final
1,2025-09-07,CLE,CIN,16,17,final
1,2025-09-07,GB,DET,27,13,final
1,2025-09-07,LA,HOU,14,9,final
1,2025-09-07,NE,LV,13,20,final
1,2025-09-07,IND,MIA,33,8,final
1,2025-09-07,WAS,NYG,21,6,final
1,2025-09-07,NYJ,PIT,32,34,final
1,2025-09-07,SEA,SF,13,17,final
1,2025-09-07,ATL,TB,20,23,final
1,2025-09-07,DEN,TEN,20,12,final
1,2025-09-08,CHI,MIN,24,27,final
2,2025-09-11,GB,WAS,27,18,final
2,2025-09-14,MIN,ATL,6,22,final
2,2025-09-14,NYJ,BUF,10,30,final
2,2025-09-14,ARI,CAR,27,22,final
2,2025-09-14,DET,CHI,52,21,final
2,2025-09-14,BAL,CLE,41,17,final
2,2025-09-14,IND,DEN,29,28,final
2,2025-09-14,CIN,JAX,31,27,final
2,2025-09-14,TEN,LA,19,33,final
2,2025-09-14,MIA,NE,27,33,final
2,2025-09-14,DAL,NYG,40,37,final
2,2025-09-14,KC,PHI,17,20,final
2,2025-09-14,PIT,SEA,17,31,final
2,2025-09-14,NO,SF,21,26,final
2,2025-09-15,LV,LAC,9,20,final
2,2025-09-15,HOU,TB,19,20,final
3,2025-09-18,BUF,MIA,31,21,final
3,2025-09-21,SF,ARI,16,15,final
3,2025-09-21,CAR,ATL,30,0,final
3,2025-09-21,MIN,CIN,48,10,final
3,2025-09-21,CHI,DAL,31,14,final
3,2025-09-21,LAC,DEN,23,20,final
3,2025-09-21,CLE,GB,13,10,final
3,2025-09-21,JAX,HOU,17,10,final
3,2025-09-21,TEN,IND,20,41,final
3,2025-09-21,NYG,KC,9,22,final
3,2025-09-21,PHI,LA,33,26,final
3,2025-09-21,WAS,LV,41,24,final
3,2025-09-21,SEA,NO,44,13,final
3,2025-09-21,TB,NYJ,29,27,final
3,2025-09-21,NE,PIT,14,21,final
3,2025-09-22,BAL,DET,30,38,final
4,2025-09-25,ARI,SEA,20,23,final
4,2025-09-28,KC,BAL,37,20,final
4,2025-09-28,NE,CAR,42,13,final
4,2025-09-28,LV,CHI,24,25,final
4,2025-09-28,DET,CLE,34,10,final
4,2025-09-28,DAL,GB,40,40,final
4,2025-09-28,LA,IND,27,20,final
4,2025-09-28,SF,JAX,21,26,final
4,2025-09-28,NYG,LAC,21,18,final
4,2025-09-28,PIT,MIN,24,21,final
4,2025-09-28,BUF,NO,31,19,final
4,2025-09-28,TB,PHI,25,31,final
4,2025-09-28,HOU,TEN,26,0,final
4,2025-09-28,ATL,WAS,34,27,final
4,2025-09-29,DEN,CIN,28,3,final
4,2025-09-29,MIA,NYJ,27,21,final
5,2025-10-02,LA,SF,23,26,final
5,2025-10-05,NYJ,DAL,22,37,final
5,2025-10-05,PHI,DEN,17,21,final
5,2025-10-05,CIN,DET,24,37,final
5,2025-10-05,BAL,HOU,10,44,final
5,2025-10-05,IND,LV,40,6,final
5,2025-10-05,CAR,MIA,27,24,final
5,2025-10-05,CLE,MIN,17,21,final
5,2025-10-05,BUF,NE,20,23,final
5,2025-10-05,NO,NYG,26,14,final
5,2025-10-05,SEA,TB,35,38,final
5,2025-10-05,ARI,TEN,21,22,final
5,2025-10-05,LAC,WAS,10,27,final
5,2025-10-06,JAX,KC,31,28,final
6,2025-10-09,NYG,PHI,34,17,final
6,2025-10-12,IND,ARI,31,27,final
6,2025-10-12,GB,CIN,27,18,final
6,2025-10-12,PIT,CLE,23,9,final
6,2025-10-12,CAR,DAL,30,27,final
6,2025-10-12,NYJ,DEN,11,13,final
6,2025-10-12,KC,DET,30,17,final
6,2025-10-12,MIA,LAC,27,29,final
6,2025-10-12,BAL,LA,3,17,final
6,2025-10-12,NO,NE,19,25,final
6,2025-10-12,JAX,SEA,12,20,final
6,2025-10-12,TB,SF,30,19,final
6,2025-10-12,LV,TEN,20,10,final
6,2025-10-13,ATL,BUF,24,14,final
6,2025-10-13,WAS,CHI,24,25,final
7,2025-10-16,CIN,PIT,33,31,final
7,2025-10-19,SF,ATL,20,10,final
7,2025-10-19,NYJ,CAR,6,13,final
7,2025-10-19,ARI,GB,23,27,final
7,2025-10-19,LAC,IND,24,38,final
7,2025-10-19,JAX,LA,7,35,final
7,2025-10-19,KC,LV,31,0,final
7,2025-10-19,CLE,MIA,31,6,final
7,2025-10-19,TEN,NE,13,31,final
7,2025-10-19,CHI,NO,26,14,final
7,2025-10-19,DEN,NYG,33,32,final
7,2025-10-19,MIN,PHI,22,28,final
7,2025-10-19,DAL,WAS,44,22,final
7,2025-10-20,SEA,HOU,27,19,final
7,2025-10-20,DET,TB,24,9,final
8,2025-10-23,LAC,MIN,37,10,final
8,2025-10-26,CAR,BUF,9,40,final
8,2025-10-26,BAL,CHI,30,16,final
8,2025-10-26,NE,CLE,32,13,final
8,2025-10-26,DEN,DAL,44,24,final
8,2025-10-26,PIT,GB,25,35,final
8,2025-10-26,ATL,MIA,10,34,final
8,2025-10-26,PHI,NYG,38,20,final
8,2025-10-26,CIN,NYJ,38,39,final
8,2025-10-26,HOU,SF,26,15,final
8,2025-10-26,NO,TB,3,23,final
8,2025-10-26,IND,TEN,38,14,final
8,2025-10-27,KC,WAS,28,7,final
9,2025-10-30,MIA,BAL,6,28,final
9,2025-11-02,NE,ATL,24,23,final
9,2025-11-02,GB,CAR,13,16,final
9,2025-11-02,CIN,CHI,42,47,final
9,2025-11-02,HOU,DEN,15,18,final
9,2025-11-02,PIT,IND,27,20,final
9,2025-11-02,LV,JAX,29,30,final
9,2025-11-02,BUF,KC,28,21,final
9,2025-11-02,TEN,LAC,20,27,final
9,2025-11-02,DET,MIN,24,27,final
9,2025-11-02,LA,NO,34,10,final
9,2025-11-02,WAS,SEA,14,38,final
9,2025-11-02,NYG,SF,24,34,final
9,2025-11-03,DAL,ARI,17,27,final
10,2025-11-06,DEN,LV,10,7,final
10,2025-11-09,SEA,ARI,44,22,final
10,2025-11-09,IND,ATL,31,25,final
10,2025-11-09,MIN,BAL,19,27,final
10,2025-11-09,MIA,BUF,30,13,final
10,2025-11-09,NYJ,CLE,27,20,final
10,2025-11-09,WAS,DET,22,44,final
10,2025-11-09,HOU,JAX,36,29,final
10,2025-11-09,SF,LA,26,42,final
10,2025-11-09,TB,NE,23,28,final
10,2025-11-09,CAR,NO,7,17,final
10,2025-11-09,CHI,NYG,24,20,final
10,2025-11-09,LAC,PIT,25,10,final
10,2025-11-10,GB,PHI,7,10,final
11,2025-11-13,NE,NYJ,27,14,final
11,2025-11-16,CLE,BAL,16,23,final
11,2025-11-16,ATL,CAR,27,30,final
11,2025-11-16,MIN,CHI,17,19,final
11,2025-11-16,PIT,CIN,34,12,final
11,2025-11-16,PHI,DET,16,9,final
11,2025-11-16,NYG,GB,20,27,final
11,2025-11-16,TEN,HOU,13,16,final
11,2025-11-16,DEN,KC,22,19,final
11,2025-11-16,JAX,LAC,35,6,final
11,2025-11-16,LA,SEA,21,19,final
11,2025-11-16,ARI,SF,22,41,final
11,2025-11-16,BUF,TB,44,32,final
11,2025-11-16,MIA,WAS,16,13,final
11,2025-11-17,LV,DAL,16,33,final
12,2025-11-20,HOU,BUF,23,19,final
12,2025-11-23,NO,ATL,10,24,final
12,2025-11-23,LV,CLE,10,24,final
12,2025-11-23,KC,IND,23,20,final
12,2025-11-23,ARI,JAX,24,27,final
12,2025-11-23,GB,MIN,23,6,final
12,2025-11-23,CIN,NE,20,26,final
12,2025-11-23,DET,NYG,34,27,final
12,2025-11-23,BAL,NYJ,23,10,final
12,2025-11-23,DAL,PHI,24,21,final
12,2025-11-23,CHI,PIT,31,28,final
12,2025-11-23,TEN,SEA,24,30,final
12,2025-11-23,LA,TB,34,7,final
12,2025-11-24,SF,CAR,20,9,final
13,2025-11-27,BAL,CIN,14,32,final
13,2025-11-27,DET,GB,24,31,final
13,2025-11-27,DAL,KC,31,28,final
13,2025-11-28,PHI,CHI,15,24,final
13,2025-11-30,TB,ARI,20,17,final
13,2025-11-30,NYJ,ATL,27,24,final
13,2025-11-30,PIT,BUF,7,26,final
13,2025-11-30,WAS,DEN,26,27,final
13,2025-11-30,IND,HOU,16,20,final
13,2025-11-30,TEN,JAX,3,25,final
