week,team,playoff_prob,superbowl_prob
0,ARI,0.211660,0.012440
0,ATL,0.437710,0.030800
0,BAL,0.436500,0.030460
0,BUF,0.582490,0.044650
0,CAR,0.422610,0.028780
0,CHI,0.493810,0.035830
0,CIN,0.381190,0.025700
0,CLE,0.352360,0.023370
0,DAL,0.411570,0.027660
0,DEN,0.616890,0.048180
0,DET,0.460010,0.032270
0,GB,0.442490,0.030660
0,HOU,0.579920,0.044550
0,IND,0.438260,0.029690
0,JAX,0.605510,0.048270
0,KC,0.339590,0.021460
0,LA,0.555980,0.041630
0,LAC,0.522040,0.039080
0,LV,0.207930,0.012030
0,MIA,0.363240,0.023280
0,MIN,0.430010,0.028920
0,NE,0.626190,0.049390
0,NO,0.379500,0.026060
0,NYG,0.279850,0.017270
0,NYJ,0.217430,0.012780
0,PHI,0.559490,0.042460
0,PIT,0.493810,0.035510
0,SEA,0.623270,0.051200
0,SF,0.551850,0.041530
0,TB,0.425760,0.029470
0,TEN,0.236650,0.014280
0,WAS,0.314430,0.020340
1,ARI,0.211240,0.012630
1,ATL,0.347910,0.021680
1,BAL,0.602050,0.045380
1,BUF,0.715310,0.060010
1,CAR,0.311820,0.017980
1,CHI,0.638620,0.049620
1,CIN,0.539490,0.038710
1,CLE,0.220510,0.011590
1,DAL,0.419870,0.028600
1,DEN,0.607010,0.046070
1,DET,0.613090,0.047630
1,GB,0.438330,0.030190
1,HOU,0.363320,0.022820
1,IND,0.272700,0.016390
1,JAX,0.735520,0.062250
1,KC,0.333160,0.020050
1,LA,0.339850,0.021000
1,LAC,0.521070,0.037330
1,LV,0.206400,0.011170
1,MIA,0.339700,0.021090
1,MIN,0.416440,0.028050
1,NE,0.376310,0.023780
1,NO,0.308730,0.018120
1,NYG,0.291140,0.018740
1,NYJ,0.408640,0.027190
1,PHI,0.564890,0.041990
1,PIT,0.614400,0.047990
1,SEA,0.731730,0.063850
1,SF,0.710550,0.059700
1,TB,0.336910,0.020980
1,TEN,0.144410,0.007300
1,WAS,0.318880,0.020120
